"","year","quarter","A1","A2","A3","A4","A5"
"38",1984,2,73.7345605903744,607.114580914503,0,0,0
"39",1984,3,0,873.245448442311,0,0,0
"40",1984,4,0,611.773072161828,0,0,0
"41",1985,1,0,624.876239809636,0,145.896231290339,0
"42",1985,2,0,2102.02627267441,0,0,0
"43",1985,3,0,187.301184103165,0,0,0
"44",1985,4,0,734.237270179512,0,45.5159537560748,0
"45",1986,1,0,354.509883616926,0,59.9427542371821,0
"46",1986,2,17.7674630822785,489.951254693135,0,0,0
"47",1986,3,0,673.009965237822,0,0,0
"48",1986,4,0,488.996657358441,0,107.502125113988,0
"49",1987,1,0,48.5524646663073,0,149.808144203244,0
"50",1987,2,0,34.2076389806468,0,0,0
"51",1987,3,0,245.529975659065,0,0,0
"52",1987,4,0,274.253613755652,0,9.54865138437377,0
"53",1988,1,0,0,0,64.4094094140544,0
"54",1988,2,6.26846271361311,311.281890492496,0,0,0
"55",1988,3,0,342.012095384009,0,0,0
"56",1988,4,0,131.637618274591,0,0,0
"57",1989,1,5.74649155809019,134.524615702715,0,123.597498157364,0
"58",1989,2,0,281.192537640324,0,0,0
"59",1989,3,0,647.091350644093,0,0,0
"60",1989,4,0,302.643276796007,0,61.2948542336134,0
"61",1990,1,0,1227.27215315437,0,296.209835981913,0
"62",1990,2,0,351.919057261975,0,107.595698892895,0
"63",1990,3,3.44593904502176,990.045155222397,0,0,0
"64",1990,4,0,1017.10253793779,0,0,0
"65",1991,1,0,967.194164807156,0,920.734324527446,0
"66",1991,2,29.4261192095777,302.186705339208,0,0,0
"67",1991,3,11.745729743695,380.206293880144,0,0,0
"68",1991,4,0,163.372989920237,0,0,0
"69",1992,1,0,128.283123898054,0,90.9540014109286,8.72162409923548
"70",1992,2,204.594141566668,196.816605842126,0,99.6756255101641,0
"71",1992,3,39.8702227356812,300.273117134503,0,0,0
"72",1992,4,0,1346.86649828161,0,0,0
"73",1993,1,0,156.176996572114,0,174.730418972002,0
"74",1993,2,0,352.479563167491,0,32.8905544354588,0
"75",1993,3,0,418.325705377182,0,0,0
"76",1993,4,116.144331318528,4929.07320524352,0,0,0
"77",1994,1,0,923.429329102006,0,51.4883210565092,0
"78",1994,2,1027.52517525308,3598.57744683177,0,165.657743845967,0
"79",1994,3,411.905458008204,8732.93726091093,0,43.6530291115753,0
"80",1994,4,415.26356365297,18351.7925634732,0,186.92447130875,0
"81",1995,1,1007.93069341373,5456.22202808394,0,388.190139263471,104.425315143288
"82",1995,2,2199.74170353154,4508.23645279369,17.0259019590806,1173.64965598954,245.17233759354
"83",1995,3,3413.16258928584,8868.9167985642,206.580476660379,633.362101500922,0
"84",1995,4,7542.95690044706,6246.09886038391,7.9454125729912,0,0
"85",1996,1,4441.59638033854,6818.62481801076,461.662579502981,425.129020839422,139.645064813291
"86",1996,2,4286.27065802328,6757.47160927725,563.790871138938,1045.36081626631,52.1063486075831
"87",1996,3,4975.7315994132,8975.54933138772,250.110634141299,517.937509519125,0
"88",1996,4,9364.64323587873,8390.35002393255,489.799929636124,415.809103008239,0
"89",1997,1,3892.33550425204,6830.82645374723,581.777669797184,361.106387780766,96.7896371260664
"90",1997,2,2848.52513649014,11316.1792454354,799.293617192048,729.563980181946,512.047344450558
"91",1997,3,2182.44712216343,10725.2790516986,560.962602786376,1358.17480505555,0
"92",1997,4,1980.66700657597,17232.9840509062,312.224284320807,381.954380221925,0
"93",1998,1,2907.02478656971,3368.44783359553,674.263780830183,2348.98970464331,561.886719459748
"94",1998,2,1189.90879147925,2035.32736537916,759.040337534857,3277.10710683636,1051.81271006445
"95",1998,3,6713.06747671048,3255.70621080986,54.2170738278148,115.334409649721,8.87193617573589
"96",1998,4,10554.5979115542,2433.24164062884,321.359420589962,288.829458814788,0
"97",1999,1,5901.45632670956,3066.02265374452,268.823940111933,543.078859385395,81.4617939870313
"98",1999,2,3072.92050512755,14754.187027628,525.88117443077,162.018341635765,47.9719697370332
"99",1999,3,9223.28664956397,6282.11545505999,41.6360435581617,0,0
"100",1999,4,3559.88117546775,1322.59373483775,265.203453627,152.061928971961,0
